          Index             Ts             Tr          Value,
              0            0.0             25       -0.83521,
              1            0.0        25.1667      -0.848124,
              2            0.0        25.3333      -0.867021,
              3            0.0           25.5      -0.888881,
              4            0.0        25.6667      -0.910364,
              5            0.0        25.8333      -0.931654,
              6            0.0             26      -0.952834,
              7            0.0        26.1667      -0.974041,
              8            0.0        26.3333      -0.994994,
              9            0.0           26.5       -1.01606,
             10            0.0        26.6667       -1.03683,
             11            0.0        26.8333       -1.05705,
             12            0.0             27       -1.07614,
             13            0.0        27.1667       -1.09419,
             14            0.0        27.3333       -1.11095,
             15            0.0           27.5       -1.12733,
             16            0.0        27.6667       -1.14231,
             17            0.0        27.8333       -1.15694,
             18            0.0             28       -1.17012,
             19            0.0        28.1667       -1.18287,
             20            0.0        28.3333       -1.19412,
             21            0.0           28.5       -1.20513,
             22            0.0        28.6667       -1.21538,
             23            0.0        28.8333       -1.22486,
             24            0.0             29        -1.2337,
             25            0.0        29.1667       -1.24263,
             26            0.0        29.3333        -1.2507,
             27            0.0           29.5       -1.25802,
             28            0.0        29.6667       -1.26468,
             29            0.0        29.8333       -1.27131,
             30            0.0             30       -1.27763,
             31            0.0        30.1667       -1.28372,
             32            0.0        30.3333       -1.28862,
             33            0.0           30.5       -1.29386,
             34            0.0        30.6667       -1.29897,
             35            0.0        30.8333       -1.30393,
             36            0.0             31       -1.30817,
             37            0.0        31.1667       -1.31253,
             38            0.0        31.3333       -1.31678,
             39            0.0           31.5       -1.32091,
             40            0.0        31.6667       -1.32444,
             41            0.0        31.8333        -1.3281,
             42            0.0             32        -1.3317,
             43            0.0        32.1667       -1.33521,
             44            0.0        32.3333       -1.33832,
             45            0.0           32.5       -1.34152,
             46            0.0        32.6667       -1.34464,
             47            0.0        32.8333        -1.3477,
             48            0.0             33       -1.35041,
             49            0.0        33.1667       -1.35316,
             50            0.0        33.3333       -1.35587,
             51            0.0           33.5       -1.35854,
             52            0.0        33.6667       -1.36095,
             53            0.0        33.8333       -1.36344,
             54            0.0             34       -1.36591,
             55            0.0        34.1667       -1.36833,
             56            0.0        34.3333        -1.3706,
             57            0.0           34.5       -1.37287,
             58            0.0        34.6667       -1.37513,
             59            0.0        34.8333       -1.37736,
             60            0.0             35       -1.37942,
             61            0.0        35.1667       -1.38152,
             62            0.0        35.3333       -1.38358,
             63            0.0           35.5        -1.3856,
